State Code,County Code,Site Num,Date Local,Latitude,Longitude,State Name,County Name,City Name,PM2.5 Mean,PM10 Mean
1,73,23,2023-04-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.343478,18
1,73,23,2023-04-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.691667,20
1,73,23,2023-04-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.083333,19
1,73,23,2023-05-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.291667,20
1,73,23,2023-05-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.395833,26
1,73,23,2023-05-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.870833,34
1,73,23,2023-05-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.283333,34
1,73,23,2023-05-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.195652,23
1,73,23,2023-05-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.675,25
1,73,23,2023-05-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.1625,32
1,73,23,2023-05-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.133333,27
1,73,23,2023-05-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.541667,29
1,73,23,2023-05-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.383333,17
1,73,23,2023-05-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.254167,19
1,73,23,2023-05-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.8875,24
1,73,23,2023-05-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.05,25
1,73,23,2023-05-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.945833,24
1,73,23,2023-05-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.095833,20
1,73,23,2023-05-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.316667,18
1,73,23,2023-05-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.158333,16
1,73,23,2023-05-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.8625,18
1,73,23,2023-05-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.033333,41
1,73,23,2023-05-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.0125,29
1,73,23,2023-05-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.158333,29
1,73,23,2023-05-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.679167,39
1,73,23,2023-05-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.779167,45
1,73,23,2023-05-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.6875,43
1,73,23,2023-05-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.1125,26
1,73,23,2023-05-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.129167,22
1,73,23,2023-05-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.645833,15
1,73,23,2023-05-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.616667,23
1,73,23,2023-05-31,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.470833,31
1,73,23,2023-06-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.116667,26
1,73,23,2023-06-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.658333,27
1,73,23,2023-06-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.858333,32
1,73,23,2023-06-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.4625,38
1,73,23,2023-06-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.886957,36
1,73,23,2023-06-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.929167,35
1,73,23,2023-06-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.395833,45
1,73,23,2023-06-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.375,47
1,73,23,2023-06-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.320833,58
1,73,23,2023-06-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.325,54
1,73,23,2023-06-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.570833,24
1,73,23,2023-06-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.283333,21
1,73,23,2023-06-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.541667,29
1,73,23,2023-06-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.991667,20
1,73,23,2023-06-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.104167,17
1,73,23,2023-06-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.470833,22
1,73,23,2023-06-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.3,29
1,73,23,2023-06-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.158333,26
1,73,23,2023-06-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.204167,17
1,73,23,2023-06-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.0375,21
1,73,23,2023-06-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.845833,16
1,73,23,2023-06-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.170833,12
1,73,23,2023-06-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.625,25
1,73,23,2023-06-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.641667,39
1,73,23,2023-06-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.179167,29
1,73,23,2023-06-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.866667,23
1,73,23,2023-06-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.625,43
1,73,23,2023-06-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.216667,49
1,73,23,2023-06-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.420833,42
1,73,23,2023-06-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.083333,49
1,73,23,2023-07-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.183333,33
1,73,23,2023-07-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.454167,27
1,73,23,2023-07-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.45,23
1,73,23,2023-07-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.525,32
1,73,23,2023-07-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.175,23
1,73,23,2023-07-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.720833,19
1,73,23,2023-07-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.63913,16
1,73,23,2023-07-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.395833,15
1,73,23,2023-07-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.054167,12
1,73,23,2023-07-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.85,11
1,73,23,2023-07-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.3125,27
1,73,23,2023-07-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.291667,25
1,73,23,2023-07-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.3375,15
1,73,23,2023-07-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.745833,18
1,73,23,2023-07-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.625,16
1,73,23,2023-07-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.275,23
1,73,23,2023-07-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,23.341667,71
1,73,23,2023-07-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,31.2,61
1,73,23,2023-07-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,14.541667,26
1,73,23,2023-07-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.045833,42
1,73,23,2023-07-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.25,35
1,73,23,2023-07-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.954167,16
1,73,23,2023-07-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.4,20
1,73,23,2023-07-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.858333,32
1,73,23,2023-07-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,23.979167,45
1,73,23,2023-07-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,21.670833,45
1,73,23,2023-07-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,25.166667,48
1,73,23,2023-07-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.979167,37
1,73,23,2023-07-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.241667,30
1,73,23,2023-07-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.104167,24
1,73,23,2023-07-31,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.108333,20
1,73,23,2023-08-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.3,24
1,73,23,2023-08-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.845833,26
